CustomerID,Name,State,Education,Gender,Age,Married,NumPets,JoinDate,TransactionDate,MonthlySpend,DaysSinceLastInteraction
CUST10319,Scott Perez,Florida,High School,Non-Binary,47,Yes,1,2021-09-19,2024-09-02,1281.74,332
CUST10695,Jennifer Burton,Washington,Master,Male,72,Yes,0,2024-04-05,2024-06-02,429.46,424
CUST10297,Michelle Rogers,Arizona,Master,Female,40,Yes,2,2024-07-24,2025-02-28,510.34,153
CUST10103,Brooke Hendricks,Texas,Master,Male,27,Yes,0,2023-08-12,2025-03-29,396.47,124
CUST10219,Karen Johns,Texas,High School,Female,28,Yes,1,2021-12-06,2022-07-24,139.68,1103
CUST10841,Stephen Cooke,Texas,PhD,Female,55,Yes,2,2022-05-25,2023-04-04,423.45,849
CUST10263,Rodney James,Ohio,High School,Non-Binary,61,No,0,2023-11-20,2024-03-26,402.96,492
CUST10117,Jeffrey Miles,Arizona,High School,Male,21,Yes,2,2020-09-28,2023-07-09,175.81,753
CUST10611,John Walsh,New York,Master,Male,74,No,2,2021-05-15,2022-07-30,320.48,1097
CUST10466,James Pope,New York,Master,Female,50,No,1,2021-07-28,2023-01-28,151.49,915
CUST10058,Jennifer Anderson MD,Florida,PhD,Non-Binary,49,No,3,2021-10-20,2024-09-20,320.95,314
CUST10684,David Roy,Illinois,High School,Male,27,No,0,2021-09-22,2022-08-01,912.8,1095
CUST10802,April Davis,Arizona,Bachelor,Non-Binary,30,No,4,2023-02-06,2023-06-12,1225.58,780
CUST10221,Susan Reed,Texas,Bachelor,Male,25,Yes,1,2023-04-03,2023-11-16,444.74,623
CUST10621,Michelle Munoz,Georgia,Bachelor,Female,25,No,2,2024-04-11,2025-05-15,103.3,77
CUST10935,Scott Wood MD,California,High School,Male,78,No,0,2023-02-05,2024-05-05,315.62,452
CUST10768,Marc Smith,Arizona,Bachelor,Female,39,No,3,2024-04-08,2024-05-31,319.54,426
CUST10862,James Blake,Texas,Associate,Non-Binary,26,No,0,2021-03-20,2022-11-14,432.37,990
CUST10754,Brian Harris,California,Master,Male,28,Yes,1,2021-05-02,2021-12-30,353.14,1309
CUST10109,Thomas Gilbert,Florida,Master,Non-Binary,51,Yes,3,2023-03-12,2025-06-25,127.75,36
CUST10862,James Blake,Texas,Associate,Non-Binary,26,No,0,2021-03-20,2023-04-11,391.56,842
CUST10714,Bradley Williams,Georgia,Associate,Male,75,No,1,2023-05-10,2024-06-02,331.69,424
CUST10176,Phyllis Mason,California,PhD,Female,38,No,3,2021-05-02,2021-09-21,920.89,1409
CUST10499,Kathryn Campbell,Florida,Associate,Female,34,No,1,2023-11-13,2024-12-21,121.79,222
CUST10502,Hannah Turner,Colorado,Bachelor,Male,30,No,4,2022-04-30,2024-08-11,322.3,354
CUST10637,Emily Schneider,Florida,Associate,Non-Binary,68,No,1,2022-03-01,2025-02-20,547.29,161
CUST10253,Mrs. Lisa Jennings DDS,Illinois,Master,Male,61,Yes,0,2022-03-25,2022-08-18,249.12,1078
CUST10013,Jennifer Ritter,Florida,PhD,Non-Binary,73,Yes,4,2024-02-06,2024-04-28,994.47,459
CUST10358,Scott Finley,Ohio,High School,Male,21,Yes,2,2021-10-31,2024-06-20,172.63,406
CUST10962,Richard Rogers,Colorado,Associate,Female,26,No,0,2024-05-08,2024-07-02,311.23,394
CUST10739,Evelyn Buckley,Washington,Bachelor,Non-Binary,55,Yes,3,2022-05-04,2022-12-15,192.79,959
CUST10148,Erin Mason,Florida,PhD,Male,37,Yes,2,2020-11-28,2024-03-18,129.89,500
CUST10589,Nathan Sanders,Texas,PhD,Male,71,Yes,3,2022-02-01,2022-04-10,861.57,1208
CUST10807,Matthew Hopkins,Illinois,Bachelor,Male,43,No,0,2021-06-19,2021-11-29,366.8,1340
CUST10706,Ronald Becker,California,PhD,Non-Binary,22,No,2,2024-03-08,2025-02-22,961.06,159
CUST10767,Miranda Brown,Georgia,PhD,Non-Binary,78,No,0,2021-04-03,2022-11-08,444.09,996
CUST10328,Ariel Love,California,Master,Female,79,No,0,2024-07-24,2025-01-22,550.22,190
CUST10771,Matthew Ochoa,Texas,High School,Female,20,No,0,2020-10-20,2021-05-26,120.39,1527
CUST10498,Derek Greene,Colorado,Associate,Non-Binary,52,No,1,2024-07-26,2024-09-16,153.83,318
CUST10602,William Reed,Florida,High School,Female,69,No,0,2021-05-06,2022-06-13,320.13,1144
CUST10487,Theresa Crawford,Georgia,PhD,Male,18,Yes,1,2023-11-04,2024-09-06,155.06,328
